Unnamed: 0,Film,Budget,Revenue,Novel,Earnings,First Letter
110,Annabelle,6500000,255273813,0.0,248773813,A
111,Annapolis,26000000,17496992,0.0,-8503008,A
112,Ant-Man,130000000,519311965,0.0,389311965,A
113,Antwone Fisher,12500000,23367586,0.0,10867586,A
114,Apocalypto,40000000,120175290,0.0,80175290,A
115,Apollo 18,5000000,25562924,0.0,20562924,A
116,Appaloosa,20000000,20211394,1.0,211394,A
117,Aquamarine,12000000,23006849,1.0,11006849,A
118,Are We There Yet?,32000000,97918663,0.0,65918663,A
119,Argo,44500000,232324128,0.0,187824128,A
120,Armored,20000000,22942221,0.0,2942221,A
121,Around the World in 80 Days,110000000,72178895,1.0,-37821105,A
122,Arrival,47000000,203388186,0.0,156388186,A
123,Assassin's Creed,125000000,240697856,0.0,115697856,A
124,Assault on Precinct 13,30000000,35294470,0.0,5294470,A
125,Astro Boy,65000000,44091067,0.0,-20908933,A
126,Atomic Blonde,30000000,90007945,1.0,60007945,A
127,Atonement,30000000,129266061,0.0,99266061,A
128,August Rush,25000000,66122026,0.0,41122026,A
129,August: Osage County,25000000,74188937,0.0,49188937,A
130,Austin Powers in Goldmember,63000000,296655431,0.0,233655431,A
131,Australia,130000000,49554002,0.0,-80445998,A
132,Avatar,237000000,2787965087,1.0,2550965087,A
133,Avengers: Age of Ultron,280000000,1405403694,0.0,1125403694,A
134,Awake,86000000,14373825,0.0,-71626175,A
135,Babel,25000000,135330182,0.0,110330182,B
136,Baby Driver,34000000,224511319,0.0,190511319,B
137,Baby Mama,30000000,63833449,0.0,33833449,B
138,Babylon A.D.,70000000,72108608,1.0,2108608,B
139,Bad Boys II,130000000,273339556,0.0,143339556,B
140,Bad Company,70000000,65977295,0.0,-4022705,B
141,Bad Moms,20000000,183936074,0.0,163936074,B
142,Bad News Bears,30000000,34252847,0.0,4252847,B
143,Bad Santa,23000000,76488889,0.0,53488889,B
144,Bad Santa 2,26000000,17782178,0.0,-8217822,B
145,Bad Teacher,20000000,216197492,0.0,196197492,B
146,Bad Words,9500000,7800000,0.0,-1700000,B
147,Baggage Claim,8500000,22456509,0.0,13956509,B
148,Ballistic: Ecks vs. Sever,70000000,19924033,0.0,-50075967,B
149,Bandslam,20000000,5210988,0.0,-14789012,B
150,Bangkok Dangerous,45000000,42487390,0.0,-2512610,B
151,Barbershop,12000000,75781642,0.0,63781642,B
152,Barbershop: The Next Cut,20000000,55030051,0.0,35030051,B
153,Basic,50000000,42792561,0.0,-7207439,B
154,Basic Instinct 2,70000000,38629478,0.0,-31370522,B
155,Batman Begins,150000000,374218673,0.0,224218673,B
156,Batman v Superman: Dawn of Justice,250000000,873260194,0.0,623260194,B
157,Battle for Terra,4000000,6101046,0.0,2101046,B
158,Battle of the Year,20000000,16549477,0.0,-3450523,B
159,Battle: Los Angeles,70000000,202466756,0.0,132466756,B
160,Battleship,209000000,303025485,0.0,94025485,B
161,Baywatch,69000000,177856751,0.0,108856751,B
162,Be Cool,53000000,95226116,1.0,42226116,B
163,Beastly,17000000,43165571,1.0,26165571,B
164,Beauty Shop,25000000,36351350,0.0,11351350,B
165,Because of Winn-Dixie,14000000,32645546,1.0,18645546,B
166,Becoming Jane,16500000,37311672,0.0,20811672,B
167,Bedtime Stories,80000000,212874442,0.0,132874442,B
168,Bee Movie,150000000,287594577,0.0,137594577,B
169,Beerfest,17500000,19179969,0.0,1679969,B
170,Before I Fall,5000000,10025571,1.0,5025571,B
171,Before Midnight,3000000,11176469,0.0,8176469,B
172,Begin Again,8000000,63464861,0.0,55464861,B
173,Bend It Like Beckham,3500159,76578641,0.0,73078482,B
174,Beowulf,70000000,195735876,0.0,125735876,B
175,Beverly Hills Chihuahua,20000000,149281606,0.0,129281606,B
176,Bewitched,85000000,131426169,0.0,46426169,B
177,Beyond the Lights,7000000,14618727,0.0,7618727,B
178,Big Eyes,10000000,28883511,0.0,18883511,B
179,Big Fat Liar,15000000,52970014,0.0,37970014,B
180,Big Fish,70000000,122919055,1.0,52919055,B
181,Big Hero 6,165000000,652105443,0.0,487105443,B
182,Big Miracle,40000000,24719215,0.0,-15280785,B
183,Big Momma's House 2,40000000,138259062,0.0,98259062,B
184,"Big Mommas: Like Father, Like Son",32000000,83615414,0.0,51615414,B
185,Big Trouble,40000000,8493890,1.0,-31506110,B
186,Biker Boyz,24000000,23510601,0.0,-489399,B
187,Billy Lynn's Long Halftime Walk,40000000,30930984,1.0,-9069016,B
188,Birdman,18000000,103215094,0.0,85215094,B
189,Black Mass,53000000,98837872,0.0,45837872,B
190,Black Nativity,17500000,7018189,1.0,-10481811,B
191,Black Snake Moan,15000000,10903846,0.0,-4096154,B
192,Black Swan,13000000,327803731,0.0,314803731,B
193,Black or White,9000000,21571189,0.0,12571189,B
194,Blackhat,70000000,17752940,0.0,-52247060,B
195,Blade II,54000000,155010032,0.0,101010032,B
196,Blade: Trinity,65000000,128905366,0.0,63905366,B
197,Blair Witch,5000000,45172994,0.0,40172994,B
198,Bleed for This,6000000,6174491,0.0,174491,B
199,Blended,40000000,123494610,0.0,83494610,B
200,Blindness,25000000,19844979,1.0,-5155021,B
201,Blood Diamond,100000000,170877916,0.0,70877916,B
202,Blood Work,50000000,26199517,1.0,-23800483,B
203,BloodRayne,25000000,2405420,0.0,-22594580,B
204,Blue Crush,25000000,51842679,0.0,26842679,B
205,Blue Jasmine,18000000,99206215,0.0,81206215,B
206,Boat Trip,20000000,8586376,0.0,-11413624,B
207,Body of Lies,70000000,113280098,1.0,43280098,B
208,Bolt,150000000,309979994,0.0,159979994,B
209,Boogeyman,20000000,67192859,0.0,47192859,B
210,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,261572744,0.0,243572744,B
211,Boyhood,4000000,44349000,0.0,40349000,B
212,Brave,185000000,538983207,0.0,353983207,B
213,Brick Mansions,28000000,68896829,0.0,40896829,B
214,Bride Wars,30000000,114663461,0.0,84663461,B
215,Bridesmaids,32500000,288383523,0.0,255883523,B
216,Bridge of Spies,40000000,165478348,0.0,125478348,B
217,Bridge to Terabithia,60000000,137587063,1.0,77587063,B
218,Bridget Jones's Baby,35000000,211952420,0.0,176952420,B
219,Bridget Jones: The Edge of Reason,50000000,40203020,1.0,-9796980,B
220,Bringing Down the House,20000000,132675402,0.0,112675402,B
221,Brokeback Mountain,14000000,178043761,0.0,164043761,B
222,Broken City,56000000,19701164,0.0,-36298836,B
223,Brooklyn,11000000,62076141,1.0,51076141,B
224,Brooklyn's Finest,17000000,29536299,0.0,12536299,B
225,Brothers,26000000,43318349,0.0,17318349,B
226,Brown Sugar,8000000,27362712,0.0,19362712,B
227,Bruce Almighty,80000000,484572835,0.0,404572835,B
228,Bug,4000000,8059140,0.0,4059140,B
229,Bullet to the Head,55000000,9489829,0.0,-45510171,B
230,Burlesque,55000000,89519773,0.0,34519773,B
231,Burn After Reading,37000000,163720069,0.0,126720069,B
232,Burnt,20000000,36606743,0.0,16606743,B
233,Cabin Fever,1500000,30553394,0.0,29053394,C
234,Calendar Girls,10000000,96542059,0.0,86542059,C
235,Capitalism: A Love Story,20000000,17436509,0.0,-2563491,C
236,Capote,7000000,49084830,0.0,42084830,C
237,Captain America: Civil War,250000000,1153304495,0.0,903304495,C
238,Captain America: The First Avenger,140000000,370569774,0.0,230569774,C
239,Captain America: The Winter Soldier,170000000,714766572,0.0,544766572,C
240,Captain Phillips,55000000,95000000,0.0,40000000,C
241,Captain Underpants: The First Epic Movie,38000000,110824373,1.0,72824373,C
242,Captivity,17000000,2626800,0.0,-14373200,C
243,Carol,11800000,40272135,1.0,28472135,C
244,Cars,120000000,461983149,0.0,341983149,C
245,Cars 2,200000000,559852396,0.0,359852396,C
246,Cars 3,175000000,350170057,0.0,175170057,C
247,Case 39,27000000,29000000,0.0,2000000,C
248,Casino Royale,150000000,599045960,1.0,449045960,C
249,Catch Me If You Can,52000000,352114312,1.0,300114312,C
250,Catch That Kid,18000000,16702864,0.0,-1297136,C
251,Catch and Release,25000000,16158487,0.0,-8841513,C
252,Catwoman,100000000,82102379,0.0,-17897621,C
253,Cellular,25000000,56422687,0.0,31422687,C
254,Central Intelligence,50000000,216972543,0.0,166972543,C
255,Changeling,55000000,113020255,0.0,58020255,C
256,Changing Lanes,45000000,94935764,0.0,49935764,C
257,Chappie,49000000,104399548,0.0,55399548,C
258,Charlie St. Cloud,44000000,48190704,1.0,4190704,C
259,Charlie Wilson's War,75000000,119000410,1.0,44000410,C
260,Charlie and the Chocolate Factory,150000000,474968763,1.0,324968763,C
261,Charlie's Angels: Full Throttle,120000000,259175788,0.0,139175788,C
262,Chasing Liberty,23000000,12,0.0,-22999988,C
263,Cheaper by the Dozen,40000000,190212113,1.0,150212113,C
264,Cheaper by the Dozen 2,60000000,129181830,1.0,69181830,C
265,Chef,11000000,45967935,0.0,34967935,C
266,Chicago,45000000,306776732,0.0,261776732,C
267,Chicken Little,150000000,314432665,0.0,164432665,C
268,Children of Men,76000000,69959751,1.0,-6040249,C
269,Cinderella Man,88000000,108539911,0.0,20539911,C
270,Cirque du Freak: The Vampire's Assistant,40000000,28169671,1.0,-11830329,C
271,City of Ember,55000000,17869048,1.0,-37130952,C
272,Clerks II,5000000,26888376,0.0,21888376,C
273,Click,82500000,237681299,0.0,155181299,C
274,Clockstoppers,26000000,38793283,0.0,12793283,C
275,Clockstoppers,26000000,38793283,0.0,12793283,C
276,Closer,27000000,115505027,0.0,88505027,C
277,Cloud Atlas,102000000,130482868,1.0,28482868,C
278,Cloudy with a Chance of Meatballs,100000000,242988466,0.0,142988466,C
279,Cloudy with a Chance of Meatballs 2,78000000,248384621,0.0,170384621,C
280,Cloverfield,25000000,170764026,0.0,145764026,C
281,Club Dread,8500000,5001655,0.0,-3498345,C
282,Coach Carter,30000000,76669806,0.0,46669806,C
283,Code Name: The Cleaner,20000000,10337477,0.0,-9662523,C
284,Cold Mountain,79000000,173013509,1.0,94013509,C
285,Collateral,65000000,217764291,0.0,152764291,C
286,Collateral Beauty,36000000,87416021,0.0,51416021,C
287,Collateral Damage,85000000,78382433,0.0,-6617567,C
288,College,7000000,6230276,0.0,-769724,C
289,Collide,21500000,4811525,0.0,-16688475,C
290,Colombiana,40000000,60965854,0.0,20965854,C
291,Confessions of a Dangerous Mind,30000000,33013805,0.0,3013805,C
292,Confessions of a Dangerous Mind,30000000,33013805,0.0,3013805,C
293,Confessions of a Shopaholic,40000000,108332743,0.0,68332743,C
294,Confessions of a Teenage Drama Queen,15000000,29331068,1.0,14331068,C
295,Connie and Carla,20000000,11341016,0.0,-8658984,C
296,Constantine,100000000,230884728,0.0,130884728,C
297,Contagion,60000000,137551594,0.0,77551594,C
298,Contraband,25000000,63100000,0.0,38100000,C
299,Conviction,12500000,6732980,0.0,-5767020,C
300,Cop Out,30000000,55583804,0.0,25583804,C
301,Coraline,60000000,124596398,1.0,64596398,C
302,Country Strong,15000000,20529194,0.0,5529194,C
303,Couples Retreat,70000000,171844840,0.0,101844840,C
304,Courageous,1000000,34522221,0.0,33522221,C
305,Cowboys & Aliens,163000000,174822325,0.0,11822325,C
306,Cradle 2 the Grave,25000000,56489558,0.0,31489558,C
307,Crank,12000000,42931041,0.0,30931041,C
308,Crank: High Voltage,20000000,34560577,0.0,14560577,C
309,Crash,6500000,98410061,0.0,91910061,C
310,Crazy Heart,7000000,39462438,1.0,32462438,C
311,"Crazy, Stupid, Love.",50000000,142851197,0.0,92851197,C
312,Creed,37000000,173567581,0.0,136567581,C
313,Crimson Peak,55000000,74679822,0.0,19679822,C
314,Crossover,5800000,7000000,0.0,1200000,C
315,Crossroads,12000000,61141030,0.0,49141030,C
316,Curious George,50000000,69834815,0.0,19834815,C
317,Cursed,35000000,19294901,0.0,-15705099,C
318,Daddy Day Camp,6000000,18197398,0.0,12197398,D
319,Daddy Day Care,60000000,164433867,0.0,104433867,D
320,Daddy's Home,50000000,242786137,0.0,192786137,D
321,Dallas Buyers Club,5000000,55198285,0.0,50198285,D
322,Dan in Real Life,25000000,68377859,0.0,43377859,D
323,Danny Collins,10000000,10835752,0.0,835752,D
