year,quarter,state,period,pm2.5_measure,personal_income_per_capita,region,division
2016,2,Michigan,2016 Q2,7.211254838709677,44432,Midwest,East North Central
2016,3,Michigan,2016 Q3,7.306222580645161,44566,Midwest,East North Central
2016,4,Michigan,2016 Q4,8.262287096774193,44904,Midwest,East North Central
2016,1,Minnesota,2016 Q1,8.435415384615384,52188,Midwest,West North Central
2016,2,Minnesota,2016 Q2,5.429584615384615,52240,Midwest,West North Central
2016,3,Minnesota,2016 Q3,5.079738461538461,52825,Midwest,West North Central
2016,4,Minnesota,2016 Q4,5.037323076923077,53091,Midwest,West North Central
2016,1,Mississippi,2016 Q1,7.099670000000001,35898,South,East South Central
2016,2,Mississippi,2016 Q2,8.41637,35913,South,East South Central
2016,3,Mississippi,2016 Q3,8.39333,35990,South,East South Central
2016,4,Mississippi,2016 Q4,8.96423,36268,South,East South Central
2016,1,Missouri,2016 Q1,9.0652,44128,Midwest,West North Central
2016,2,Missouri,2016 Q2,7.4421,44247,Midwest,West North Central
2016,3,Missouri,2016 Q3,9.9571,44446,Midwest,West North Central
2016,4,Missouri,2016 Q4,10.045,44779,Midwest,West North Central
2016,1,Montana,2016 Q1,5.907525,43659,West,Mountain
2016,2,Montana,2016 Q2,3.71845,43729,West,Mountain
2016,3,Montana,2016 Q3,4.31985,44064,West,Mountain
2016,4,Montana,2016 Q4,5.396175,44745,West,Mountain
2016,1,Nebraska,2016 Q1,6.2606875,49569,Midwest,West North Central
2016,2,Nebraska,2016 Q2,6.233625,49320,Midwest,West North Central
2016,3,Nebraska,2016 Q3,6.9735625,49252,Midwest,West North Central
2016,4,Nebraska,2016 Q4,5.5993125,49326,Midwest,West North Central
2016,1,Nevada,2016 Q1,6.471260000000001,44683,West,Mountain
2016,2,Nevada,2016 Q2,4.97926,45058,West,Mountain
2016,3,Nevada,2016 Q3,6.953239999999999,46265,West,Mountain
2016,4,Nevada,2016 Q4,8.29338,45740,West,Mountain
2016,1,New Hampshire,2016 Q1,4.3872374999999995,55557,Northeast,New England
2016,2,New Hampshire,2016 Q2,4.3732625,56182,Northeast,New England
2016,3,New Hampshire,2016 Q3,5.684677777777778,56750,Northeast,New England
2016,4,New Hampshire,2016 Q4,5.203457142857142,56755,Northeast,New England
2016,1,New Jersey,2016 Q1,8.280042105263158,60171,Northeast,Middle Atlantic
2016,2,New Jersey,2016 Q2,7.355005263157895,60253,Northeast,Middle Atlantic
2016,3,New Jersey,2016 Q3,7.73581052631579,60625,Northeast,Middle Atlantic
2016,4,New Jersey,2016 Q4,7.982184210526316,61000,Northeast,Middle Atlantic
2016,1,New Mexico,2016 Q1,5.2349000000000006,38469,West,Mountain
2016,2,New Mexico,2016 Q2,7.10286,38814,West,Mountain
2016,3,New Mexico,2016 Q3,5.48234,38866,West,Mountain
2016,4,New Mexico,2016 Q4,6.556139999999999,38938,West,Mountain
2016,1,New York,2016 Q1,6.884292,58829,Northeast,Middle Atlantic
2016,2,New York,2016 Q2,6.394878260869565,58966,Northeast,Middle Atlantic
2016,3,New York,2016 Q3,6.791469565217391,59250,Northeast,Middle Atlantic
2016,4,New York,2016 Q4,6.754873913043478,60066,Northeast,Middle Atlantic
2016,1,North Carolina,2016 Q1,7.541768181818182,42684,South,South Atlantic
2016,2,North Carolina,2016 Q2,7.740966666666667,42710,South,South Atlantic
2016,3,North Carolina,2016 Q3,8.027909523809523,42941,South,South Atlantic
2016,4,North Carolina,2016 Q4,9.889542857142857,43405,South,South Atlantic
2016,1,North Dakota,2016 Q1,5.0683,51944,Midwest,West North Central
2016,2,North Dakota,2016 Q2,4.836650000000001,51789,Midwest,West North Central
2016,3,North Dakota,2016 Q3,4.5032499999999995,52207,Midwest,West North Central
2016,4,North Dakota,2016 Q4,4.0576,52059,Midwest,West North Central
2016,1,Ohio,2016 Q1,8.470848611111112,44870,Midwest,East North Central
2016,2,Ohio,2016 Q2,8.47003918918919,45065,Midwest,East North Central
2016,3,Ohio,2016 Q3,7.991752112676056,45229,Midwest,East North Central
2016,4,Ohio,2016 Q4,9.591590140845069,45645,Midwest,East North Central
2016,1,Oklahoma,2016 Q1,6.5572857142857135,42591,South,West South Central
2016,2,Oklahoma,2016 Q2,7.0013,42440,South,West South Central
2016,3,Oklahoma,2016 Q3,9.901014285714284,42468,South,West South Central
2016,4,Oklahoma,2016 Q4,7.918157142857143,42629,South,West South Central
2016,1,Oregon,2016 Q1,7.193025,45784,West,Pacific
2016,2,Oregon,2016 Q2,4.42248125,45850,West,Pacific
2016,3,Oregon,2016 Q3,4.557,46006,West,Pacific
2016,4,Oregon,2016 Q4,8.6572625,46443,West,Pacific
2016,1,Pennsylvania,2016 Q1,9.589946875,50655,Northeast,Middle Atlantic
2016,2,Pennsylvania,2016 Q2,8.611496875,50920,Northeast,Middle Atlantic
2016,3,Pennsylvania,2016 Q3,8.80413125,51471,Northeast,Middle Atlantic
2016,4,Pennsylvania,2016 Q4,9.279164,51629,Northeast,Middle Atlantic
2016,1,Rhode Island,2016 Q1,5.9825800000000005,48661,Northeast,New England
2016,2,Rhode Island,2016 Q2,5.60072,48995,Northeast,New England
2016,3,Rhode Island,2016 Q3,6.208419999999999,49545,Northeast,New England
2016,4,Rhode Island,2016 Q4,5.93766,49561,Northeast,New England
2016,1,South Carolina,2016 Q1,7.4549642857142855,40717,South,South Atlantic
2016,2,South Carolina,2016 Q2,8.135142857142856,40978,South,South Atlantic
2016,3,South Carolina,2016 Q3,7.395964285714285,41287,South,South Atlantic
2016,4,South Carolina,2016 Q4,9.673725000000001,41713,South,South Atlantic
2016,1,South Dakota,2016 Q1,6.635814285714285,48974,Midwest,West North Central
2016,2,South Dakota,2016 Q2,5.243071428571429,48968,Midwest,West North Central
2016,3,South Dakota,2016 Q3,5.227885714285714,49422,Midwest,West North Central
2016,4,South Dakota,2016 Q4,4.980600000000001,49344,Midwest,West North Central
2016,1,Tennessee,2016 Q1,7.123492857142857,43147,South,East South Central
2016,2,Tennessee,2016 Q2,7.770492857142857,43187,South,East South Central
2016,3,Tennessee,2016 Q3,8.094575,43616,South,East South Central
2016,4,Tennessee,2016 Q4,10.440520588235293,43994,South,East South Central
2016,1,Texas,2016 Q1,7.918393103448276,46343,South,West South Central
2016,2,Texas,2016 Q2,8.751185714285715,46276,South,West South Central
2016,3,Texas,2016 Q3,9.651525000000001,46622,South,West South Central
2016,4,Texas,2016 Q4,8.434764285714285,47125,South,West South Central
2016,1,Utah,2016 Q1,9.639326666666667,41358,West,Mountain
2016,2,Utah,2016 Q2,4.517246666666667,41502,West,Mountain
2016,3,Utah,2016 Q3,8.374129411764706,41825,West,Mountain
2016,4,Utah,2016 Q4,7.687342857142857,42301,West,Mountain
2016,1,Vermont,2016 Q1,5.433971428571428,49474,Northeast,New England
2016,2,Vermont,2016 Q2,5.35222,49483,Northeast,New England
2016,3,Vermont,2016 Q3,5.56102,49735,Northeast,New England
2016,4,Vermont,2016 Q4,4.95636,49681,Northeast,New England
2016,1,Virginia,2016 Q1,7.064690000000001,52750,South,South Atlantic
2016,2,Virginia,2016 Q2,6.30987619047619,52980,South,South Atlantic
2016,3,Virginia,2016 Q3,7.58315,53367,South,South Atlantic
2016,4,Virginia,2016 Q4,7.296445454545454,53934,South,South Atlantic
2016,1,Washington,2016 Q1,10.54887142857143,54354,West,Pacific
2016,2,Washington,2016 Q2,5.81002,54566,West,Pacific
2016,3,Washington,2016 Q3,5.528700000000001,54929,West,Pacific
2016,4,Washington,2016 Q4,7.555574999999999,55800,West,Pacific
2016,1,West Virginia,2016 Q1,8.24148,37199,South,South Atlantic
2016,2,West Virginia,2016 Q2,7.738933333333334,37309,South,South Atlantic
2016,3,West Virginia,2016 Q3,8.148386666666665,37371,South,South Atlantic
2016,4,West Virginia,2016 Q4,9.00096,37654,South,South Atlantic
2016,1,Wisconsin,2016 Q1,9.040229166666666,46902,Midwest,East North Central
2016,2,Wisconsin,2016 Q2,6.405433333333334,47011,Midwest,East North Central
2016,3,Wisconsin,2016 Q3,5.784970833333333,47400,Midwest,East North Central
2016,4,Wisconsin,2016 Q4,5.339637499999999,47461,Midwest,East North Central
2016,1,Wyoming,2016 Q1,4.248039130434782,55211,West,Mountain
2016,2,Wyoming,2016 Q2,4.336788888888889,54646,West,Mountain
2016,3,Wyoming,2016 Q3,5.1598434782608695,54625,West,Mountain
2016,4,Wyoming,2016 Q4,4.853326086956521,54992,West,Mountain
2017,1,Alabama,2017 Q1,8.743692,39815,South,East South Central
2017,2,Alabama,2017 Q2,7.671616,40101,South,East South Central
2017,3,Alabama,2017 Q3,9.574792,40276,South,East South Central
2017,4,Alabama,2017 Q4,8.591016,40661,South,East South Central
2017,1,Alaska,2017 Q1,19.83048888888889,56648,West,Pacific
2017,2,Alaska,2017 Q2,4.377445454545454,56805,West,Pacific
2017,3,Alaska,2017 Q3,4.46345,57436,West,Pacific
2017,4,Alaska,2017 Q4,12.6288,57951,West,Pacific
2017,1,Arizona,2017 Q1,6.4568,42860,West,Mountain
2017,2,Arizona,2017 Q2,8.073357142857143,43208,West,Mountain
2017,3,Arizona,2017 Q3,7.773933333333333,43778,West,Mountain
2017,4,Arizona,2017 Q4,10.406408333333333,44061,West,Mountain
2017,1,Arkansas,2017 Q1,7.6313666666666675,41519,South,West South Central
2017,2,Arkansas,2017 Q2,7.557383333333333,41693,South,West South Central
2017,3,Arkansas,2017 Q3,10.261566666666667,41921,South,West South Central
2017,4,Arkansas,2017 Q4,8.767041666666666,42429,South,West South Central
2017,1,California,2017 Q1,8.464246478873239,57825,West,Pacific
2017,2,California,2017 Q2,7.687021621621622,58471,West,Pacific
2017,3,California,2017 Q3,11.210383116883119,59083,West,Pacific
2017,4,California,2017 Q4,15.093994666666667,59855,West,Pacific
2017,1,Colorado,2017 Q1,6.000483333333334,54074,West,Mountain
2017,2,Colorado,2017 Q2,4.9652416666666666,54856,West,Mountain
2017,3,Colorado,2017 Q3,8.972791666666668,55547,West,Mountain
2017,4,Colorado,2017 Q4,6.712458333333333,56458,West,Mountain
2017,1,Connecticut,2017 Q1,6.153177777777778,68785,Northeast,New England
2017,2,Connecticut,2017 Q2,5.033033333333333,69836,Northeast,New England
2017,3,Connecticut,2017 Q3,6.217755555555556,70310,Northeast,New England
2017,4,Connecticut,2017 Q4,6.911388888888889,71029,Northeast,New England
2017,1,Delaware,2017 Q1,7.1318625,49892,South,South Atlantic
2017,2,Delaware,2017 Q2,5.9796,50007,South,South Atlantic
2017,3,Delaware,2017 Q3,7.3809875,50688,South,South Atlantic
2017,4,Delaware,2017 Q4,8.0747625,51009,South,South Atlantic
2017,1,District Of Columbia,2017 Q1,6.6444,79121,South,South Atlantic
2017,2,District Of Columbia,2017 Q2,6.93,79627,South,South Atlantic
2017,3,District Of Columbia,2017 Q3,7.9821,80373,South,South Atlantic
2017,4,District Of Columbia,2017 Q4,8.3357,80913,South,South Atlantic
2017,1,Florida,2017 Q1,7.37419705882353,48333,South,South Atlantic
2017,2,Florida,2017 Q2,7.65605294117647,48902,South,South Atlantic
2017,3,Florida,2017 Q3,7.03055,49256,South,South Atlantic
2017,4,Florida,2017 Q4,7.050434482758621,49759,South,South Atlantic
2017,1,Georgia,2017 Q1,9.365044444444445,44454,South,South Atlantic
2017,2,Georgia,2017 Q2,8.011636,44752,South,South Atlantic
2017,3,Georgia,2017 Q3,8.873776,45046,South,South Atlantic
2017,4,Georgia,2017 Q4,8.646936,45706,South,South Atlantic
2017,1,Hawaii,2017 Q1,,50664,West,Pacific
2017,2,Hawaii,2017 Q2,,50992,West,Pacific
2017,3,Hawaii,2017 Q3,,51347,West,Pacific
2017,4,Hawaii,2017 Q4,,51407,West,Pacific
2017,1,Idaho,2017 Q1,11.006033333333333,40830,West,Mountain
2017,2,Idaho,2017 Q2,3.8402222222222218,41403,West,Mountain
2017,3,Idaho,2017 Q3,12.634096,41603,West,Mountain
2017,4,Idaho,2017 Q4,8.768744444444444,42003,West,Mountain
2017,1,Illinois,2017 Q1,9.065029411764707,52738,Midwest,East North Central
2017,2,Illinois,2017 Q2,6.877729411764706,53320,Midwest,East North Central
2017,3,Illinois,2017 Q3,9.434923529411764,53889,Midwest,East North Central
2017,4,Illinois,2017 Q4,8.58370909090909,54493,Midwest,East North Central
2017,1,Indiana,2017 Q1,8.986952380952381,44360,Midwest,East North Central
2017,2,Indiana,2017 Q2,6.926872727272727,44823,Midwest,East North Central
2017,3,Indiana,2017 Q3,9.408154545454545,45167,Midwest,East North Central
2017,4,Indiana,2017 Q4,8.528861363636365,45644,Midwest,East North Central
2017,1,Iowa,2017 Q1,7.8164423076923075,47055,Midwest,West North Central
2017,2,Iowa,2017 Q2,6.217146153846154,47174,Midwest,West North Central
2017,3,Iowa,2017 Q3,8.695065217391305,47095,Midwest,West North Central
2017,4,Iowa,2017 Q4,7.044669565217391,47667,Midwest,West North Central
2017,1,Kansas,2017 Q1,8.142922222222222,48208,Midwest,West North Central
2017,2,Kansas,2017 Q2,6.906642857142857,48424,Midwest,West North Central
2017,3,Kansas,2017 Q3,9.178528571428572,48653,Midwest,West North Central
2017,4,Kansas,2017 Q4,7.352716666666667,49258,Midwest,West North Central
2017,1,Kentucky,2017 Q1,7.226004347826088,40363,South,East South Central
2017,2,Kentucky,2017 Q2,6.626708695652174,40591,South,East South Central
2017,3,Kentucky,2017 Q3,9.148947826086957,40842,South,East South Central
2017,4,Kentucky,2017 Q4,8.09425652173913,41221,South,East South Central
2017,1,Louisiana,2017 Q1,6.967429411764706,43625,South,West South Central
2017,2,Louisiana,2017 Q2,8.9247,43799,South,West South Central
2017,3,Louisiana,2017 Q3,9.303217647058823,44254,South,West South Central
2017,4,Louisiana,2017 Q4,8.032235294117648,44529,South,West South Central
2017,1,Maine,2017 Q1,6.425876923076923,45791,Northeast,New England
2017,2,Maine,2017 Q2,5.37625,46085,Northeast,New England
2017,3,Maine,2017 Q3,5.8231,46630,Northeast,New England
2017,4,Maine,2017 Q4,6.066976923076923,46963,Northeast,New England
2017,1,Maryland,2017 Q1,6.803966666666667,58486,South,South Atlantic
2017,2,Maryland,2017 Q2,6.418899999999999,58906,South,South Atlantic
2017,3,Maryland,2017 Q3,7.86078,59286,South,South Atlantic
2017,4,Maryland,2017 Q4,8.0154,59935,South,South Atlantic
2017,1,Massachusetts,2017 Q1,5.467138888888889,65600,Northeast,New England
2017,2,Massachusetts,2017 Q2,4.44153125,66347,Northeast,New England
2017,3,Massachusetts,2017 Q3,6.719925,67125,Northeast,New England
2017,4,Massachusetts,2017 Q4,6.2835375,67676,Northeast,New England
